data,canal_marketing,investimento_marketing,roi_marketing,volume_vendas,ticket_medio,clientes_recorrentes,churn_rate,nps,custo_operacional,faturamento,inadimplencia
2024-03-13,Instagram,30955.06,2.8,3093,54.23,2131,0.0549,91,100354.9,167733.39,0.1912
2024-03-14,Rádio,38141.0,7.45,1186,117.48,2309,0.0633,58,91525.41,139331.28,0.0214
2024-03-15,TV,25889.65,4.91,4440,147.71,1446,0.0326,67,29708.92,655832.4,0.1307
2024-03-16,WhatsApp,35352.12,3.56,2666,172.31,2222,0.091,53,131490.59,459378.46,0.1925
2024-03-17,Google Ads,46791.02,5.38,4588,90.12,1791,0.1123,82,128907.48,413470.56,0.1253
2024-03-18,Outdoor,19102.35,6.26,871,127.04,943,0.0689,16,126255.47,110651.84,0.1616
2024-03-19,TV,35552.03,7.71,3772,149.3,2428,0.1138,49,62888.04,563159.6,0.0324
2024-03-20,Google Ads,24046.55,4.25,3348,132.74,1925,0.0489,39,124570.3,444413.52,0.0565
2024-03-21,Google Ads,33882.78,1.34,1769,91.1,1999,0.1075,99,127495.32,161155.9,0.0757
2024-03-22,Google Ads,38263.22,3.81,1656,169.44,1643,0.0425,86,149498.34,280592.64,0.1964
2024-03-23,WhatsApp,2749.9,4.09,3058,76.0,461,0.1182,91,143852.67,232408.0,0.1585
2024-03-24,Rádio,32506.72,7.23,1251,185.75,1472,0.1254,10,60512.86,232373.25,0.1783
2024-03-25,WhatsApp,11723.69,3.46,1317,192.89,1726,0.1207,13,33739.62,254036.13,0.1025
2024-03-26,Facebook Ads,33666.61,7.65,2331,104.84,1236,0.0362,12,47407.05,244382.04,0.1462
2024-03-27,TV,23682.34,4.14,4442,106.43,1696,0.1057,87,76743.28,472762.06,0.149
2024-03-28,Rádio,38790.86,7.8,4044,161.49,2761,0.0831,79,121791.36,653065.56,0.1181
2024-03-29,Rádio,6608.34,0.56,2142,118.44,1138,0.148,27,109832.69,253698.48,0.1768
2024-03-30,Rádio,31502.96,7.24,805,54.29,1289,0.0574,93,119218.35,43703.45,0.0401
2024-03-31,Outdoor,14284.3,7.48,2769,187.98,652,0.1168,43,60089.32,520516.62,0.0209
2024-04-01,Rádio,42722.61,7.71,2213,114.61,1987,0.0587,62,40801.17,253631.93,0.0678
2024-04-02,WhatsApp,46454.98,0.6,3077,80.52,75,0.0625,60,8498.8,247760.04,0.0268
2024-04-03,Rádio,49821.72,1.79,4449,133.35,2766,0.0211,90,95796.63,593274.15,0.0215
2024-04-04,Instagram,39902.37,5.4,4478,82.84,633,0.0398,16,120280.47,370957.52,0.0896
2024-04-05,TV,37809.84,0.69,522,80.9,1117,0.0289,49,133925.37,42229.8,0.0481
2024-04-06,Rádio,11167.29,0.98,2121,131.86,1163,0.0281,25,74054.49,279675.06,0.1601
2024-04-07,TV,17132.35,2.16,3893,108.66,1206,0.0063,6,139508.64,423013.38,0.1202
2024-04-08,Instagram,23551.29,4.34,4231,135.95,1234,0.1201,98,34349.75,575204.45,0.0785
2024-04-09,Instagram,38782.36,4.59,630,199.52,1817,0.0729,78,79584.83,125697.6,0.0644
2024-04-10,TV,45790.81,0.76,190,178.85,429,0.1216,15,35996.32,33981.5,0.117
2024-04-11,Google Ads,9862.39,1.78,3472,51.15,1334,0.0938,84,32270.95,177592.8,0.0925
2024-04-12,Facebook Ads,46157.19,4.25,2042,57.58,1456,0.1255,16,143241.28,117578.36,0.0206
2024-04-13,Outdoor,34933.42,4.95,3905,141.51,418,0.078,89,123572.4,552596.55,0.1364
2024-04-14,Google Ads,30733.15,1.61,1340,143.94,1150,0.0186,34,6710.98,192879.6,0.105
2024-04-15,Google Ads,10392.14,3.49,1858,181.73,2306,0.0944,83,43934.38,337654.34,0.0626
2024-04-16,WhatsApp,3248.49,7.28,197,144.36,1086,0.1033,83,34744.61,28438.92,0.0652
2024-04-17,Outdoor,28639.01,7.99,1579,84.16,1994,0.0958,22,26334.46,132888.64,0.096
2024-04-18,Outdoor,32750.03,7.9,4726,120.28,1643,0.1212,68,106124.8,568443.28,0.1672
2024-04-19,Google Ads,10933.68,7.11,1932,171.35,1971,0.1111,8,87191.49,331048.2,0.0904
2024-04-20,Rádio,28044.58,3.46,2685,188.42,74,0.0677,86,70820.51,505907.7,0.1695
2024-04-21,WhatsApp,42896.42,5.65,3747,85.54,595,0.1238,17,32477.07,320518.38,0.0907
2024-04-22,WhatsApp,41835.76,3.62,179,130.94,1213,0.1053,92,45254.62,23438.26,0.1677
2024-04-23,Instagram,46404.08,5.36,4809,73.84,324,0.0225,74,56634.65,355096.56,0.187
2024-04-24,Outdoor,18611.35,2.82,2323,124.55,2971,0.0833,47,118894.99,289329.65,0.0139
2024-04-25,Google Ads,16243.45,5.05,2669,63.52,2319,0.1106,71,148432.47,169534.88,0.0218
2024-04-26,Instagram,37596.59,4.43,1872,191.26,2972,0.0852,90,31676.67,358038.72,0.0355
2024-04-27,TV,21840.06,0.68,4618,145.71,1202,0.1426,65,54520.79,672888.78,0.0332
2024-04-28,Facebook Ads,4833.66,6.43,1223,178.13,1396,0.0197,22,45629.22,217852.99,0.0964
2024-04-29,WhatsApp,14498.66,0.59,3911,199.74,1506,0.1097,84,11389.77,781183.14,0.1552
2024-04-30,TV,21219.82,2.7,3574,77.4,2315,0.1245,9,36786.73,276627.6,0.1927
2024-05-01,TV,14979.56,0.54,2723,154.12,1920,0.1069,37,135734.02,419668.76,0.0894
2024-05-02,Rádio,16944.18,3.32,1503,183.05,1321,0.0609,58,127214.44,275124.15,0.1408
2024-05-03,Facebook Ads,15041.91,0.97,2678,136.39,160,0.0609,67,29301.61,365252.42,0.1307
2024-05-04,TV,2554.21,7.35,431,145.95,2913,0.0901,84,58093.64,62904.45,0.0847
2024-05-05,TV,32036.19,3.62,4848,111.15,1805,0.0626,42,50066.44,538855.2,0.147
2024-05-06,Facebook Ads,30065.97,3.95,3708,151.21,757,0.1331,11,26422.42,560686.68,0.1225
2024-05-07,Facebook Ads,32842.48,3.12,839,109.34,2244,0.0209,52,95220.19,91736.26,0.1544
2024-05-08,TV,10019.34,5.21,4706,121.49,1417,0.0977,13,85808.18,571731.94,0.0468
2024-05-09,Facebook Ads,15134.9,6.38,141,65.44,1578,0.0244,51,66913.74,9227.04,0.0785
2024-05-10,TV,31170.99,5.36,3978,51.17,601,0.0833,83,129047.26,203554.26,0.1375
2024-05-11,TV,30181.56,6.11,2049,58.27,183,0.1088,71,94858.14,119395.23,0.0337
2024-05-12,Rádio,25563.35,7.29,3560,78.88,2561,0.029,90,42594.68,280812.8,0.1564
2024-05-13,Google Ads,17845.46,6.98,2228,118.49,2961,0.1071,60,59187.19,263995.72,0.0354
2024-05-14,TV,45690.08,5.56,4597,53.15,2063,0.0253,40,26772.73,244330.55,0.0716
2024-05-15,Instagram,17318.63,2.11,2254,73.39,1236,0.095,20,90749.12,165421.06,0.0551
2024-05-16,WhatsApp,23053.15,5.28,1337,167.22,2553,0.0783,47,90061.22,223573.14,0.0216
2024-05-17,Outdoor,34066.63,4.3,1866,164.32,1134,0.0482,55,131176.63,306621.12,0.0614
2024-05-18,Google Ads,27379.56,5.88,1941,168.46,1078,0.0212,34,129093.42,326980.86,0.1832
2024-05-19,Google Ads,17670.86,6.75,605,188.23,1110,0.1117,43,126356.59,113879.15,0.0151
2024-05-20,Google Ads,22064.42,6.07,1941,67.86,2557,0.0604,38,84598.09,131716.26,0.0132
2024-05-21,Rádio,39826.8,6.85,4915,74.47,1810,0.0175,14,99542.87,366020.05,0.1438
2024-05-22,TV,14267.39,0.98,1494,100.03,2072,0.1171,11,117453.58,149444.82,0.0797
2024-05-23,Rádio,7541.63,0.74,356,187.27,1801,0.0388,97,18294.3,66668.12,0.0537
2024-05-24,TV,16001.58,2.44,1820,166.32,2236,0.1118,7,48586.69,302702.4,0.1067
2024-05-25,Rádio,42551.94,7.25,1171,98.62,2715,0.0869,93,29518.04,115484.02,0.0607
2024-05-26,Rádio,4904.99,6.68,1722,63.15,2777,0.0332,66,79162.82,108744.3,0.0845
2024-05-27,WhatsApp,49588.96,5.62,2166,142.46,2696,0.0161,93,126461.85,308568.36,0.1459
2024-05-28,Instagram,27279.64,5.76,1169,88.52,645,0.091,92,38453.24,103479.88,0.0322
2024-05-29,Rádio,49249.86,5.95,550,129.67,60,0.0087,0,110981.01,71318.5,0.1923
2024-05-30,WhatsApp,46980.32,7.57,997,191.27,2424,0.0145,79,63844.48,190696.19,0.0181
2024-05-31,Facebook Ads,22914.28,6.74,4936,135.89,1771,0.1068,41,135945.86,670753.04,0.1632
2024-06-01,Instagram,10325.31,5.18,3828,188.58,2476,0.0831,30,95884.48,721884.24,0.1477
2024-06-02,Rádio,8661.8,5.49,181,108.96,2328,0.0523,73,146600.19,19721.76,0.0636
2024-06-03,Outdoor,12379.47,2.1,836,145.0,1214,0.0832,29,40622.12,121220.0,0.0325
2024-06-04,Google Ads,35651.57,5.43,4274,184.08,667,0.0908,42,138973.96,786757.92,0.172
2024-06-05,Facebook Ads,14011.02,3.69,4044,138.2,814,0.087,25,56773.09,558880.8,0.1391
2024-06-06,Facebook Ads,17400.55,1.65,2307,142.23,98,0.0982,11,95185.28,328124.61,0.0653
2024-06-07,WhatsApp,22714.55,6.55,4048,157.45,500,0.1413,58,30303.69,637357.6,0.0132
2024-06-08,Facebook Ads,45705.02,4.33,2102,182.32,1848,0.0614,68,115168.84,383236.64,0.1883
2024-06-09,Instagram,9874.97,7.83,1791,63.23,540,0.0487,72,146846.31,113244.93,0.0868
2024-06-10,Rádio,748.81,2.61,1279,100.53,1942,0.0106,10,119176.79,128577.87,0.0435
2024-06-11,Rádio,3474.77,4.11,3035,109.65,1482,0.0263,46,94290.53,332787.75,0.1832
2024-06-12,Outdoor,45285.93,3.86,2615,186.46,2504,0.0204,22,69991.03,487592.9,0.0782
2024-06-13,Google Ads,32552.07,1.41,561,193.4,1124,0.0536,80,55059.26,108497.4,0.098
2024-06-14,WhatsApp,14015.51,3.7,3001,68.06,2272,0.0934,42,65756.83,204248.06,0.1427
2024-06-15,Google Ads,9271.03,2.66,216,67.87,1334,0.0117,76,52601.81,14659.92,0.1657
2024-06-16,Facebook Ads,15066.2,1.7,1754,190.23,2577,0.1105,80,125742.93,333663.42,0.029
2024-06-17,Outdoor,6182.45,2.62,4661,94.37,1807,0.0626,86,134501.11,439858.57,0.1807
2024-06-18,Google Ads,47105.88,2.25,1898,86.27,272,0.1447,38,142700.36,163740.46,0.1872
2024-06-19,Instagram,39318.21,6.01,759,55.34,318,0.0874,72,65662.54,42003.06,0.0593
2024-06-20,Rádio,23388.36,0.73,3337,91.34,2907,0.1168,81,84201.78,304801.58,0.1045
2024-06-21,Facebook Ads,43315.65,5.13,2222,154.03,2990,0.1299,54,88649.84,342254.66,0.173
2024-06-22,Outdoor,12848.18,6.2,3919,113.91,950,0.1339,17,99407.79,446413.29,0.1026
2024-06-23,Google Ads,35997.47,4.11,3443,127.53,968,0.0802,93,5356.17,439085.79,0.1016
2024-06-24,WhatsApp,42878.56,7.49,2650,187.59,2415,0.0625,41,127190.0,497113.5,0.1275
2024-06-25,Instagram,18160.05,5.81,4990,67.2,434,0.0863,25,43880.39,335328.0,0.1558
2024-06-26,Instagram,37994.49,6.11,1686,60.69,1659,0.0633,17,73463.79,102323.34,0.1365
2024-06-27,Google Ads,15106.08,1.98,4782,177.79,675,0.0399,84,127027.4,850191.78,0.129
2024-06-28,Rádio,15293.43,6.33,2847,166.23,1273,0.052,40,149544.14,473256.81,0.0806
2024-06-29,Google Ads,5799.33,6.74,734,89.56,1957,0.0388,41,120258.11,65737.04,0.1297
2024-06-30,Facebook Ads,22282.87,3.21,2982,98.64,2740,0.0441,32,8600.82,294144.48,0.0296
2024-07-01,Google Ads,36620.74,2.1,2911,96.54,1412,0.0186,42,58469.35,281027.94,0.0878
2024-07-02,Instagram,47040.93,3.39,4553,147.17,2801,0.0668,13,40845.54,670065.01,0.0458
2024-07-03,Outdoor,30387.95,6.05,4115,59.18,1764,0.0391,54,144799.1,243525.7,0.1121
2024-07-04,Google Ads,43225.21,3.63,2839,123.41,2402,0.07,57,43313.19,350360.99,0.0598
2024-07-05,Rádio,41213.49,6.02,1984,70.08,1825,0.1199,9,141785.78,139038.72,0.1061
2024-07-06,Outdoor,9080.48,1.35,1618,172.96,1318,0.07,27,140940.04,279849.28,0.1577
2024-07-07,WhatsApp,24547.96,6.55,721,107.1,891,0.1434,13,126714.5,77219.1,0.0925
2024-07-08,TV,6287.72,2.4,4677,129.14,1702,0.0264,82,19220.41,603987.78,0.0516
2024-07-09,Google Ads,34266.58,2.37,1637,54.4,1281,0.1283,25,5289.31,89052.8,0.0524
2024-07-10,Rádio,47520.03,4.93,2437,58.74,1797,0.041,73,120113.05,143149.38,0.1822
2024-07-11,Outdoor,7285.93,1.03,2094,151.26,2608,0.1404,16,127278.36,316738.44,0.1584
2024-07-12,Rádio,36827.21,0.7,2170,165.02,1332,0.0379,33,144516.35,358093.4,0.0169
2024-07-13,WhatsApp,31795.79,2.46,2465,156.51,2260,0.1133,13,36665.48,385797.15,0.1891
2024-07-14,Instagram,29388.45,4.54,2945,160.55,787,0.014,25,111306.24,472819.75,0.0314
2024-07-15,Rádio,19810.95,7.31,3138,65.69,390,0.0963,33,80264.34,206135.22,0.1341
2024-07-16,Outdoor,18079.02,6.85,954,154.02,2001,0.0367,82,52629.92,146935.08,0.1148
2024-07-17,Rádio,2739.83,4.18,2828,77.26,1831,0.1022,23,92912.2,218491.28,0.0189
2024-07-18,Rádio,11286.48,0.78,1015,64.7,579,0.0972,94,84488.91,65670.5,0.0661
2024-07-19,Rádio,1251.26,4.51,231,163.57,83,0.1389,69,47382.69,37784.67,0.1574
2024-07-20,Facebook Ads,29280.15,5.79,1216,183.41,372,0.0959,19,43927.06,223026.56,0.0683
2024-07-21,Facebook Ads,5739.74,3.04,3693,157.51,1254,0.0642,38,75554.13,581684.43,0.1013
2024-07-22,Instagram,43714.46,1.33,960,170.84,2036,0.0331,44,73735.29,164006.4,0.1426
2024-07-23,Google Ads,26395.58,2.59,393,198.66,396,0.1003,33,48797.64,78073.38,0.0236
2024-07-24,Rádio,35134.65,6.29,2788,70.21,1779,0.0219,21,43241.02,195745.48,0.1682
2024-07-25,WhatsApp,20837.43,3.13,1099,194.77,1265,0.1251,70,143374.57,214052.23,0.0179
2024-07-26,Google Ads,28248.7,6.59,2396,140.18,1652,0.0409,32,130043.72,335871.28,0.0599
2024-07-27,WhatsApp,47161.63,2.9,3785,171.99,2818,0.081,5,123432.97,650982.15,0.155
2024-07-28,Google Ads,4595.33,1.73,386,147.53,1752,0.0914,15,36071.15,56946.58,0.1833
2024-07-29,Instagram,13069.92,3.77,549,135.51,294,0.0576,71,32447.2,74394.99,0.1545
2024-07-30,Rádio,39109.42,3.89,2438,155.54,2775,0.1013,22,122352.71,379206.52,0.0531
2024-07-31,Rádio,5387.49,0.62,3340,98.04,1881,0.0413,17,31777.78,327453.6,0.1973
2024-08-01,TV,4245.22,1.38,2803,188.64,2820,0.01,13,78012.71,528757.92,0.0885
2024-08-02,WhatsApp,18396.3,1.89,3216,67.29,182,0.1441,49,37106.16,216404.64,0.0815
2024-08-03,Google Ads,5062.31,1.35,4671,97.7,1420,0.0514,60,59820.12,456356.7,0.1744
2024-08-04,Google Ads,29461.38,3.06,352,54.67,2146,0.1085,35,128750.86,19243.84,0.0226
2024-08-05,Facebook Ads,11700.62,7.73,1519,90.7,1137,0.0786,14,134255.66,137773.3,0.1157
2024-08-06,TV,44837.05,4.32,2436,82.73,1697,0.102,4,149518.49,201530.28,0.1935
2024-08-07,Outdoor,39283.25,5.21,1335,57.44,1941,0.0211,52,141866.12,76682.4,0.029
2024-08-08,Outdoor,35135.41,3.17,1099,123.77,1770,0.0802,47,102331.36,136023.23,0.1128
2024-08-09,Facebook Ads,31038.73,2.93,3860,120.3,1177,0.0619,78,67600.27,464358.0,0.0352
2024-08-10,Facebook Ads,43241.55,0.67,4216,61.66,2310,0.0705,10,13365.39,259958.56,0.1791
2024-08-11,Facebook Ads,11541.57,4.25,4511,89.28,1590,0.1451,1,93184.09,402742.08,0.1217
2024-08-12,WhatsApp,43718.89,4.13,2711,193.0,168,0.0248,86,35548.7,523223.0,0.0546
2024-08-13,WhatsApp,39579.87,1.68,1546,66.61,2953,0.1144,23,128269.76,102979.06,0.0683
2024-08-14,Instagram,37533.96,6.23,2270,95.75,2858,0.0529,81,84590.34,217352.5,0.1082
2024-08-15,Instagram,28282.16,4.2,3021,55.38,2776,0.0471,67,111357.74,167302.98,0.1478
2024-08-16,Facebook Ads,12689.09,3.04,3783,72.33,944,0.0443,78,102656.78,273624.39,0.1026
2024-08-17,TV,21465.62,1.6,2361,154.91,1315,0.0556,11,55363.02,365742.51,0.046
2024-08-18,Google Ads,39781.75,4.64,2045,105.01,2377,0.0568,58,115067.48,214745.45,0.1445
2024-08-19,WhatsApp,2073.03,6.15,1953,117.81,2521,0.0443,66,127289.41,230082.93,0.0325
2024-08-20,TV,39211.51,2.61,699,73.55,412,0.1018,31,112898.91,51411.45,0.1638
2024-08-21,Rádio,12383.5,2.14,4987,152.32,1823,0.0119,35,117636.98,759619.84,0.0852
2024-08-22,WhatsApp,7643.31,4.41,4235,162.73,1790,0.0532,20,57202.25,689161.55,0.134
2024-08-23,WhatsApp,6227.22,1.67,3503,77.17,363,0.0456,69,141834.75,270326.51,0.0755
2024-08-24,Instagram,1848.88,5.5,3090,56.75,1586,0.114,65,66562.96,175357.5,0.1371
2024-08-25,Google Ads,26417.53,5.04,4843,62.14,1756,0.0262,8,135072.28,300944.02,0.1789
2024-08-26,Google Ads,11303.86,1.15,4377,148.56,2867,0.1414,75,129382.36,650247.12,0.1433
2024-08-27,Outdoor,49476.87,0.77,4460,70.33,1136,0.0297,43,23027.99,313671.8,0.1376
2024-08-28,Outdoor,28934.62,5.15,2918,124.09,321,0.0587,58,145109.23,362094.62,0.1539
2024-08-29,Outdoor,7325.32,2.71,962,72.9,1110,0.034,23,149469.54,70129.8,0.105
2024-08-30,Outdoor,34593.75,1.15,4627,75.52,1839,0.0466,62,92891.24,349431.04,0.0519
2024-08-31,Rádio,44938.31,6.2,4155,50.65,2440,0.1153,77,118550.96,210450.75,0.1649
2024-09-01,Rádio,37386.39,2.86,1319,98.12,2443,0.0741,40,140384.62,129420.28,0.1332
2024-09-02,WhatsApp,4283.77,3.95,3895,63.47,2330,0.0286,75,7903.54,247215.65,0.0696
2024-09-03,Facebook Ads,44846.27,2.28,4704,109.09,1039,0.0118,90,139848.55,513159.36,0.0624
2024-09-04,Instagram,39799.5,5.2,4642,139.67,2673,0.0383,73,95968.09,648348.14,0.105
2024-09-05,Instagram,8336.04,2.76,627,105.13,2513,0.1421,1,125126.18,65916.51,0.0494
2024-09-06,Outdoor,3063.4,7.76,3022,155.76,954,0.1276,94,83404.73,470706.72,0.1769
2024-09-07,WhatsApp,28086.87,5.77,3304,161.22,2364,0.0688,27,81929.18,532670.88,0.1598
2024-09-08,TV,8223.77,1.53,1262,154.49,793,0.0749,15,135140.14,194966.38,0.0686
2024-09-09,Facebook Ads,41812.25,3.63,4864,190.51,960,0.1354,58,78583.44,926640.64,0.0194
2024-09-10,WhatsApp,18237.57,3.39,3664,85.59,2540,0.0907,0,73409.46,313601.76,0.0199
2024-09-11,Facebook Ads,45688.18,4.51,946,78.42,2657,0.1327,85,93187.38,74185.32,0.0665
2024-09-12,Facebook Ads,28501.56,6.81,2217,141.46,1935,0.0763,0,80192.65,313616.82,0.038
2024-09-13,Facebook Ads,9542.28,4.88,3186,139.23,1795,0.034,30,69711.61,443586.78,0.1759
2024-09-14,WhatsApp,7410.14,0.96,1870,126.51,2173,0.1103,21,31175.96,236573.7,0.0899
2024-09-15,Outdoor,29035.39,5.42,3383,50.65,296,0.0813,97,62623.07,171348.95,0.0761
2024-09-16,Instagram,38213.24,0.56,1925,133.29,1901,0.1019,75,45896.63,256583.25,0.0514
2024-09-17,Instagram,39184.53,6.35,3423,189.92,2677,0.0278,58,63067.39,650096.16,0.1698
2024-09-18,Outdoor,14149.99,5.5,545,100.19,2410,0.0989,86,91007.95,54603.55,0.1606
2024-09-19,Facebook Ads,10610.21,2.82,1125,195.14,625,0.0604,27,93283.5,219532.5,0.083
2024-09-20,TV,1329.44,2.69,1871,103.51,1665,0.0531,75,39605.91,193667.21,0.0422
2024-09-21,Google Ads,34120.36,6.49,1459,70.98,2440,0.1024,26,17249.4,103559.82,0.1909
2024-09-22,WhatsApp,4290.13,6.38,118,109.76,2812,0.0909,86,112943.46,12951.68,0.07
2024-09-23,Google Ads,21327.68,3.14,660,124.19,1255,0.0991,0,81642.75,81965.4,0.1565
2024-09-24,Outdoor,30283.27,2.74,571,144.42,1033,0.145,1,69104.7,82463.82,0.098
2024-09-25,TV,46886.89,4.7,127,125.73,2823,0.1067,94,23791.34,15967.71,0.1585
2024-09-26,WhatsApp,15934.21,0.56,659,130.51,2729,0.0979,65,65126.24,86006.09,0.1015
2024-09-27,Outdoor,12863.72,1.12,2755,53.61,2496,0.094,48,123635.44,147695.55,0.1859
2024-09-28,Facebook Ads,32880.93,1.45,3336,88.04,2811,0.0628,88,89308.17,293701.44,0.1621
2024-09-29,Instagram,31152.33,1.89,4653,96.6,973,0.1267,18,18191.45,449479.8,0.0595
2024-09-30,Google Ads,16939.43,4.34,1044,198.06,341,0.0602,27,53179.89,206774.64,0.0918
2024-10-01,Rádio,46441.04,7.94,4048,94.34,2151,0.1065,69,147071.29,381888.32,0.0291
2024-10-02,Rádio,42320.69,5.39,3756,184.49,1429,0.0475,38,83953.58,692944.44,0.1817
2024-10-03,TV,11587.14,0.96,3163,95.71,2574,0.0264,18,46527.43,302730.73,0.0232
2024-10-04,Facebook Ads,12337.56,4.44,2079,64.42,71,0.0238,63,137449.49,133929.18,0.0135
2024-10-05,Google Ads,25858.87,4.22,2816,87.14,1365,0.097,57,53720.09,245386.24,0.1043
2024-10-06,Facebook Ads,38791.82,1.58,915,90.92,1102,0.0526,16,110836.56,83191.8,0.1246
2024-10-07,Google Ads,2680.0,7.4,2426,196.74,2792,0.0449,69,26346.97,477291.24,0.0524
2024-10-08,TV,34820.09,3.81,2430,151.14,2011,0.0908,78,27691.5,367270.2,0.1184
2024-10-09,TV,32587.68,7.96,1102,189.75,2257,0.0087,85,86390.53,209104.5,0.1802
2024-10-10,Rádio,11958.26,3.65,1642,175.25,959,0.0407,40,39774.38,287760.5,0.129
2024-10-11,Facebook Ads,34226.97,5.06,4304,136.79,579,0.0544,97,12153.15,588744.16,0.0966
2024-10-12,WhatsApp,47039.07,1.29,1329,151.31,150,0.1077,4,139337.49,201090.99,0.0374
2024-10-13,Rádio,2815.9,3.91,3405,143.73,1363,0.084,22,13118.48,489400.65,0.0421
2024-10-14,Facebook Ads,16322.78,2.29,2629,149.94,2440,0.1291,68,109028.49,394192.26,0.102
2024-10-15,Rádio,22189.75,6.77,1530,89.72,2001,0.0535,9,53282.94,137271.6,0.098
2024-10-16,WhatsApp,45013.39,6.38,4012,111.22,1951,0.048,67,140358.22,446214.64,0.1093
2024-10-17,Instagram,48131.94,6.68,1632,138.89,628,0.0098,11,147977.6,226668.48,0.1065
2024-10-18,Instagram,22483.7,5.93,1992,55.39,1264,0.143,9,53637.44,110336.88,0.0748
2024-10-19,Instagram,37626.41,6.75,3224,122.43,839,0.0777,59,90710.49,394714.32,0.1422
2024-10-20,Instagram,26817.22,2.01,1521,178.96,1416,0.0779,29,117082.79,272198.16,0.0503
2024-10-21,Outdoor,27120.26,3.89,490,123.86,2942,0.1389,23,22894.36,60691.4,0.1719
2024-10-22,Google Ads,14265.93,5.69,2918,132.85,2222,0.047,68,107872.03,387656.3,0.0469
2024-10-23,Outdoor,11239.33,5.28,1969,80.29,1681,0.0532,12,136398.64,158091.01,0.089
2024-10-24,Outdoor,14756.26,5.87,3060,169.15,2987,0.1002,99,30882.87,517599.0,0.05
2024-10-25,Outdoor,28038.24,2.18,1295,103.83,2766,0.1189,8,126612.96,134459.85,0.1275
2024-10-26,Instagram,1943.18,1.24,2705,193.49,1433,0.1064,17,21762.5,523390.45,0.1008
2024-10-27,WhatsApp,45408.82,7.38,957,199.06,552,0.1194,34,87403.75,190500.42,0.0811
2024-10-28,TV,8236.04,4.7,3327,187.4,222,0.0884,94,54207.73,623479.8,0.1003
2024-10-29,TV,11394.39,1.65,1616,62.73,936,0.1301,87,73398.8,101371.68,0.09
2024-10-30,Google Ads,26154.67,6.45,1253,99.98,1467,0.0848,3,48591.67,125274.94,0.1725
2024-10-31,Instagram,35650.68,7.36,942,191.77,2217,0.0383,40,42778.21,180647.34,0.0336
2024-11-01,Instagram,5238.59,1.77,1782,170.68,322,0.0835,25,112755.18,304151.76,0.1607
2024-11-02,Instagram,16225.89,6.63,394,186.68,1459,0.1084,43,37351.42,73551.92,0.1345
2024-11-03,Rádio,48449.39,7.5,744,135.88,2973,0.0998,41,64219.89,101094.72,0.0762
2024-11-04,Facebook Ads,13485.98,7.54,3733,122.06,907,0.0402,9,44810.78,455649.98,0.1846
2024-11-05,Rádio,15995.98,7.36,2235,65.97,1960,0.011,72,39602.09,147442.95,0.0436
2024-11-06,Facebook Ads,41906.68,4.6,210,175.92,2007,0.0416,0,95928.94,36943.2,0.069
2024-11-07,Instagram,2985.61,3.17,683,161.77,310,0.1477,53,11587.15,110488.91,0.0812
2024-11-08,Instagram,23498.35,0.55,3325,58.83,1402,0.0317,15,119390.32,195609.75,0.1331
2024-11-09,Rádio,19291.03,0.96,1586,81.41,1197,0.0723,45,84203.94,129116.26,0.1898
2024-11-10,Rádio,16171.04,3.72,4964,133.59,1549,0.0976,12,125123.42,663140.76,0.1228
2024-11-11,Facebook Ads,14642.13,3.49,1748,152.66,327,0.1325,63,35887.32,266849.68,0.1727
2024-11-12,TV,5023.02,1.89,2481,70.65,2190,0.1152,77,107863.88,175282.65,0.1819
2024-11-13,Facebook Ads,16083.88,3.47,205,86.72,872,0.1368,86,65984.66,17777.6,0.0986
2024-11-14,Rádio,2631.09,1.81,3653,78.97,2225,0.0926,54,16136.58,288477.41,0.0998
2024-11-15,WhatsApp,39157.71,6.87,1794,83.0,581,0.1305,62,114109.08,148902.0,0.0575
2024-11-16,Rádio,20212.28,2.74,1833,188.11,2870,0.0433,17,115517.15,344805.63,0.1243
2024-11-17,WhatsApp,22473.24,4.99,481,157.37,216,0.0674,60,44282.95,75694.97,0.0328
2024-11-18,Google Ads,44732.93,4.27,2836,160.57,880,0.1273,91,137826.67,455376.52,0.1305
2024-11-19,Rádio,33073.72,0.89,4456,169.1,285,0.0522,19,115775.62,753509.6,0.1797
2024-11-20,Google Ads,898.93,7.57,1416,103.49,1105,0.1313,64,49479.82,146541.84,0.1545
2024-11-21,TV,47187.15,4.45,2802,165.08,1304,0.0577,63,39670.8,462554.16,0.1333
2024-11-22,Facebook Ads,12238.65,2.94,4174,196.76,240,0.0577,75,68812.99,821276.24,0.1693
2024-11-23,WhatsApp,5826.9,1.69,4904,154.76,2754,0.0498,90,47454.52,758943.04,0.1487
2024-11-24,Facebook Ads,38522.34,3.04,1006,112.51,662,0.0843,63,36468.34,113185.06,0.1106
2024-11-25,Google Ads,25273.63,0.65,762,157.45,1581,0.0237,12,62869.61,119976.9,0.109
2024-11-26,WhatsApp,21971.64,3.23,562,185.12,2352,0.0103,67,8727.11,104037.44,0.0303
2024-11-27,Facebook Ads,12850.4,4.49,3002,69.31,1773,0.1351,88,63204.61,208068.62,0.0925
2024-11-28,Rádio,27599.84,7.04,4780,89.79,1022,0.1397,69,37141.08,429196.2,0.1093
2024-11-29,Instagram,14082.04,5.66,1042,187.89,698,0.016,56,43328.46,195781.38,0.0993
