ID_Botijao,Data,Hora,Estoque_Atual,Total_Distribuido,Distribuicao_Diaria,Limite_Reposicao,Capacidade_Botijao,Taxa_Uso_Diario,Previsao_Esgotamento_Dias,Tipo_Cliente,Custo_Reposicao,Preco_Venda,Margem_Lucro,Rota_Entrega,Tempo_Entrega,Distancia_Percorrida,Tipo_Produto,Marca_Produto,Região_Atendimento,Canal_Venda,Programa_Fidelidade,Temperatura,Satisfacao_Cliente,Tempo_Espera,Metodo_Pagamento
F8090,2025-01-05,06:37,102,482,86,108,20kg,0.14,4.3,Residencial,74.98,109.7,41.72,Amazonas-Rota-06,69,91.6,GLP Residencial,Fogás,Amazonas,Revenda,75,32.9,1,37.6,Dinheiro
F6571,2025-01-05,08:50,108,513,64,240,190kg,0.1,5.4,Residencial,104.51,146.81,33.36,Roraima-Rota-05,52,36.9,GLP Residencial,Fogás,Roraima,Revenda,832,29.9,4,20.6,Cartão
F1810,2025-01-05,10:36,219,555,99,112,20kg,0.28,6.2,Residencial,124.61,133.77,12.24,Acre-Rota-09,59,29.6,GLP Residencial,Fogás,Acre,E-commerce,498,32.9,1,39.1,Dinheiro
F7211,2025-01-05,15:23,401,515,70,252,45kg,0.53,6.9,Comercial,103.97,146.3,31.62,Amapá-Rota-05,53,11.7,GLP Industrial,Fogás,Amapá,E-commerce,698,30.9,4,42.9,Cartão
F1025,2025-01-05,11:19,475,518,25,254,190kg,0.55,7.8,Residencial,115.79,195.34,49.83,Rondônia-Rota-05,76,32.1,GLP Granel,Fogás,Rondônia,Venda Direta,200,32.3,3,5.6,Cartão
F8647,2025-01-05,18:47,151,984,71,189,190kg,0.52,4.2,Comercial,117.8,137.9,31.7,Amapá-Rota-02,18,97.6,GLP Comercial,Fogás,Amapá,Revenda,566,30.5,3,43.6,PIX
F2944,2025-01-05,12:09,480,243,35,176,45kg,0.54,6.1,Comercial,75.01,149.57,41.81,Amapá-Rota-08,23,99.4,GLP Granel,Fogás,Amapá,Revenda,682,31.5,1,43.3,Dinheiro
F6994,2025-01-05,06:18,459,648,80,221,20kg,0.27,2.7,Comercial,116.64,106.87,17.96,Acre-Rota-04,52,70.9,GLP Industrial,Fogás,Acre,E-commerce,37,32.8,4,46.3,Boleto
F5076,2025-01-05,17:20,484,325,57,158,190kg,0.43,5.5,Comercial,80.96,107.7,48.19,Roraima-Rota-09,108,74.1,GLP Industrial,Fogás,Roraima,Venda Direta,925,29.0,1,18.7,Dinheiro
F7624,2025-01-05,12:12,230,710,48,147,45kg,0.34,8.4,Industrial,132.58,112.14,40.96,Acre-Rota-05,63,52.8,GLP Granel,Fogás,Acre,Venda Direta,868,29.0,4,2.0,PIX
F7067,2025-01-05,12:20,181,503,48,117,20kg,0.34,1.3,Residencial,118.87,134.55,44.62,Acre-Rota-03,83,22.5,GLP Industrial,Fogás,Acre,Revenda,982,30.0,5,9.5,Boleto
F9307,2025-01-05,20:01,74,664,26,207,45kg,0.24,8.6,Residencial,91.94,145.5,26.95,Amapá-Rota-08,56,28.7,GLP Industrial,Fogás,Amapá,Venda Direta,455,30.9,2,23.3,Boleto
F4413,2025-01-05,09:03,148,406,47,268,20kg,0.43,2.0,Condomínio,146.38,117.9,40.47,Amapá-Rota-07,70,43.6,GLP Residencial,Fogás,Amapá,Revenda,752,29.8,4,31.4,Dinheiro
F9112,2025-01-05,16:05,250,556,28,276,20kg,0.21,1.6,Residencial,96.48,108.21,22.63,Roraima-Rota-07,86,17.1,GLP Industrial,Fogás,Roraima,Revenda,171,29.8,1,8.3,Boleto
F9269,2025-01-05,10:59,294,804,65,287,190kg,0.25,8.7,Residencial,95.73,104.06,39.91,Amapá-Rota-01,114,54.2,GLP Comercial,Fogás,Amapá,Revenda,2,31.4,5,3.7,PIX
F8743,2025-01-05,18:10,58,968,87,296,190kg,0.47,9.8,Residencial,74.14,116.47,12.18,Rondônia-Rota-02,108,94.9,GLP Residencial,Fogás,Rondônia,Revenda,49,31.4,4,36.7,PIX
F9030,2025-01-05,21:30,306,772,40,139,13kg,0.59,7.2,Residencial,136.7,120.5,38.51,Rondônia-Rota-01,94,6.6,GLP Industrial,Ultragaz,Rondônia,Venda Direta,581,32.1,5,34.3,Boleto
F3462,2025-01-05,14:12,243,689,62,160,45kg,0.28,8.0,Condomínio,133.78,199.43,29.63,Acre-Rota-03,105,80.7,GLP Comercial,Fogás,Acre,Revenda,213,31.0,4,41.7,Cartão
F2254,2025-01-05,11:32,304,824,30,175,20kg,0.21,2.4,Condomínio,139.17,106.83,14.25,Amapá-Rota-04,105,44.8,GLP Granel,Fogás,Amapá,Revenda,258,30.1,1,12.9,Cartão
F1298,2025-01-05,16:44,239,676,79,242,45kg,0.43,1.4,Residencial,106.75,188.89,12.38,Rondônia-Rota-07,65,91.8,GLP Residencial,Fogás,Rondônia,Venda Direta,695,29.8,5,36.7,Dinheiro
F8459,2025-01-05,20:35,228,648,92,158,13kg,0.59,4.9,Industrial,81.45,163.08,48.51,Amapá-Rota-04,33,67.3,GLP Industrial,Fogás,Amapá,Revenda,950,32.2,4,23.1,PIX
F7627,2025-01-05,13:30,455,992,67,153,190kg,0.23,1.8,Industrial,84.14,125.54,24.13,Roraima-Rota-02,70,24.7,GLP Comercial,Fogás,Roraima,E-commerce,77,29.3,5,39.8,Boleto
F5139,2025-01-05,16:29,336,624,57,230,20kg,0.18,3.9,Industrial,115.32,167.83,23.13,Amazonas-Rota-06,19,25.7,GLP Residencial,Fogás,Amazonas,Revenda,350,30.6,1,34.0,Dinheiro
F5574,2025-01-05,18:17,258,398,51,100,13kg,0.4,6.9,Industrial,122.52,158.98,37.14,Acre-Rota-02,38,76.2,GLP Comercial,Fogás,Acre,Revenda,215,30.9,1,27.1,Cartão
F7043,2025-01-05,06:35,283,298,66,211,190kg,0.32,2.5,Industrial,122.09,167.48,47.96,Roraima-Rota-04,64,23.8,GLP Comercial,Fogás,Roraima,Revenda,59,30.8,4,10.5,Boleto
F6648,2025-01-05,12:48,414,727,86,150,45kg,0.17,1.8,Residencial,85.25,140.03,25.14,Amapá-Rota-09,112,39.0,GLP Comercial,Fogás,Amapá,Venda Direta,592,31.6,1,42.0,Dinheiro
F7328,2025-01-05,14:23,248,715,27,181,190kg,0.55,9.6,Industrial,85.76,137.93,10.68,Rondônia-Rota-05,111,5.9,GLP Comercial,Fogás,Rondônia,Venda Direta,240,31.8,5,26.4,Cartão
F5275,2025-01-05,13:35,219,704,45,146,20kg,0.26,5.1,Comercial,130.0,159.56,48.68,Amazonas-Rota-02,106,53.5,GLP Comercial,Fogás,Amazonas,Venda Direta,559,29.8,1,3.3,PIX
F5101,2025-01-05,19:06,155,249,77,230,13kg,0.49,7.1,Industrial,133.12,197.34,17.75,Roraima-Rota-01,108,22.2,GLP Granel,Fogás,Roraima,E-commerce,149,31.3,1,13.9,Cartão
F9120,2025-01-05,08:34,364,667,58,111,190kg,0.14,5.0,Residencial,76.94,169.92,25.4,Acre-Rota-03,85,93.5,GLP Granel,Fogás,Acre,Revenda,761,30.3,3,21.6,Dinheiro
F6673,2025-01-05,20:06,326,383,57,242,20kg,0.48,5.2,Condomínio,71.65,181.78,45.71,Acre-Rota-03,87,6.6,GLP Comercial,Ultragaz,Acre,Venda Direta,398,32.8,3,33.9,Boleto
F1475,2025-01-05,07:37,188,830,21,239,20kg,0.47,3.0,Residencial,78.63,100.93,37.98,Amazonas-Rota-02,41,68.6,GLP Residencial,Fogás,Amazonas,Venda Direta,323,32.4,1,16.8,Cartão
F8306,2025-01-05,20:30,425,862,66,119,190kg,0.4,2.3,Industrial,142.86,98.65,43.47,Roraima-Rota-08,30,20.4,GLP Granel,Fogás,Roraima,Revenda,638,29.3,5,25.8,PIX
F2968,2025-01-06,19:25,107,894,45,106,13kg,0.16,1.2,Condomínio,132.51,124.24,11.19,Amazonas-Rota-01,76,43.6,GLP Residencial,Fogás,Amazonas,E-commerce,262,22.3,2,2.5,PIX
F6305,2025-01-06,14:34,349,995,70,139,190kg,0.35,1.1,Comercial,137.87,132.61,16.58,Acre-Rota-08,82,22.0,GLP Industrial,Ultragaz,Acre,Venda Direta,311,24.1,3,33.4,PIX
F1471,2025-01-06,17:08,242,786,94,139,20kg,0.5,2.3,Industrial,75.29,159.37,17.04,Rondônia-Rota-03,42,38.8,GLP Comercial,Fogás,Rondônia,Revenda,221,20.8,3,6.3,Cartão
F7614,2025-01-06,13:58,462,767,26,131,20kg,0.51,1.9,Residencial,102.79,167.85,24.42,Roraima-Rota-06,52,32.7,GLP Residencial,Fogás,Roraima,Revenda,771,23.3,5,11.5,Boleto
F4246,2025-01-06,08:13,277,579,28,165,13kg,0.47,1.7,Residencial,137.59,141.37,39.76,Rondônia-Rota-02,98,86.3,GLP Comercial,Fogás,Rondônia,Revenda,224,22.2,4,3.3,PIX
F1997,2025-01-06,06:35,279,761,46,178,45kg,0.25,5.1,Industrial,143.87,183.41,41.49,Acre-Rota-05,108,27.7,GLP Granel,Fogás,Acre,Revenda,330,23.1,3,32.0,PIX
F4434,2025-01-06,14:26,74,703,85,293,13kg,0.35,9.2,Residencial,114.89,138.8,15.92,Amapá-Rota-08,32,51.0,GLP Granel,Fogás,Amapá,Venda Direta,752,21.8,4,26.2,Dinheiro
F7985,2025-01-06,07:20,346,841,81,223,190kg,0.44,4.4,Residencial,112.22,93.0,33.98,Rondônia-Rota-05,22,48.0,GLP Industrial,Fogás,Rondônia,Revenda,977,23.1,5,16.0,Boleto
F4048,2025-01-06,20:48,245,277,27,193,190kg,0.12,1.4,Residencial,112.12,136.87,21.36,Acre-Rota-04,35,13.3,GLP Comercial,Fogás,Acre,Revenda,205,21.6,3,19.4,Dinheiro
F1637,2025-01-06,19:30,415,581,94,168,13kg,0.27,7.5,Residencial,99.97,142.54,30.78,Amapá-Rota-06,53,73.5,GLP Residencial,Fogás,Amapá,E-commerce,966,21.4,1,19.9,Dinheiro
F2192,2025-01-06,21:11,231,268,48,188,45kg,0.23,4.1,Residencial,100.54,175.02,21.02,Amapá-Rota-01,21,40.9,GLP Granel,Fogás,Amapá,Venda Direta,169,21.1,2,21.6,Dinheiro
F9396,2025-01-06,10:27,261,886,90,290,13kg,0.58,5.3,Comercial,129.58,127.28,36.93,Acre-Rota-04,84,69.4,GLP Residencial,Fogás,Acre,Revenda,502,22.2,5,0.8,Cartão
F9182,2025-01-06,07:08,177,782,31,233,190kg,0.49,2.9,Industrial,126.29,153.75,10.14,Amazonas-Rota-04,31,49.6,GLP Granel,Fogás,Amazonas,Venda Direta,826,22.3,5,11.0,Boleto
F8878,2025-01-06,08:54,351,451,63,172,20kg,0.14,3.6,Residencial,89.61,168.14,33.42,Amapá-Rota-07,19,22.1,GLP Comercial,Fogás,Amapá,Revenda,687,24.4,5,37.9,Boleto
F4360,2025-01-06,07:22,67,991,52,283,20kg,0.58,4.6,Residencial,107.18,190.23,37.46,Amapá-Rota-05,66,56.0,GLP Industrial,Ultragaz,Amapá,Venda Direta,503,21.9,4,27.6,Cartão
F4262,2025-01-06,16:42,499,321,20,270,45kg,0.28,9.7,Residencial,82.1,163.95,23.31,Roraima-Rota-05,76,42.6,GLP Residencial,Fogás,Roraima,Venda Direta,629,23.2,1,25.0,Dinheiro
F2319,2025-01-06,09:43,228,655,99,285,13kg,0.44,7.4,Comercial,101.97,144.96,32.92,Amazonas-Rota-03,88,63.9,GLP Industrial,Fogás,Amazonas,Revenda,324,22.2,2,30.1,Boleto
F4724,2025-01-06,15:36,84,649,76,289,190kg,0.37,2.8,Condomínio,146.41,181.39,42.82,Rondônia-Rota-07,61,24.7,GLP Comercial,Fogás,Rondônia,Revenda,243,21.3,5,16.1,Cartão
F8816,2025-01-06,08:47,234,839,38,255,45kg,0.12,2.7,Comercial,116.03,109.86,27.63,Roraima-Rota-07,38,42.8,GLP Granel,Fogás,Roraima,Revenda,795,21.4,1,17.3,Cartão
F8915,2025-01-06,18:10,189,264,78,153,20kg,0.57,9.8,Comercial,133.6,166.08,33.28,Amazonas-Rota-06,110,33.9,GLP Residencial,Fogás,Amazonas,Venda Direta,583,24.3,3,15.5,PIX
F1960,2025-01-06,09:30,410,212,44,219,190kg,0.47,8.1,Condomínio,120.4,169.48,34.2,Rondônia-Rota-07,118,62.6,GLP Industrial,Fogás,Rondônia,Venda Direta,197,21.9,5,33.0,Boleto
F5764,2025-01-06,20:36,61,583,37,245,190kg,0.55,2.0,Condomínio,138.93,183.15,35.3,Amazonas-Rota-01,85,73.5,GLP Comercial,Fogás,Amazonas,Venda Direta,197,22.2,4,30.2,Cartão
F4533,2025-01-06,16:45,173,986,49,147,45kg,0.46,3.5,Comercial,116.75,180.18,13.98,Amapá-Rota-05,73,30.5,GLP Comercial,Fogás,Amapá,Revenda,284,24.3,5,44.9,PIX
F4963,2025-01-06,13:15,497,904,82,155,20kg,0.5,7.0,Residencial,120.47,136.24,31.33,Roraima-Rota-04,101,92.8,GLP Comercial,Fogás,Roraima,Venda Direta,38,22.1,3,5.2,Boleto
F7232,2025-01-06,06:04,499,514,31,296,190kg,0.26,8.9,Condomínio,123.3,163.41,10.19,Roraima-Rota-07,80,6.0,GLP Granel,Fogás,Roraima,Revenda,91,24.3,4,17.0,PIX
F5712,2025-01-06,06:52,398,951,42,178,20kg,0.4,1.8,Residencial,121.93,186.67,16.27,Acre-Rota-03,67,65.6,GLP Industrial,Fogás,Acre,Venda Direta,486,23.8,3,26.9,Cartão
F7534,2025-01-06,16:05,101,831,86,235,13kg,0.19,9.6,Industrial,93.09,161.25,49.69,Acre-Rota-09,79,17.5,GLP Granel,Fogás,Acre,Revenda,622,23.0,1,16.8,Boleto
F9288,2025-01-06,14:27,85,239,49,249,20kg,0.32,7.7,Residencial,133.34,93.23,49.26,Acre-Rota-06,103,81.5,GLP Comercial,Fogás,Acre,Venda Direta,81,23.1,1,35.8,PIX
F4533,2025-01-07,18:20,61,895,60,211,190kg,0.37,1.2,Industrial,83.2,91.59,29.84,Amapá-Rota-05,115,26.3,GLP Residencial,Ultragaz,Amapá,Revenda,164,28.4,5,21.0,PIX
F8845,2025-01-07,20:13,267,488,61,299,45kg,0.59,2.4,Residencial,75.35,122.61,45.7,Rondônia-Rota-05,52,92.3,GLP Comercial,Fogás,Rondônia,Revenda,60,28.9,2,28.9,Boleto
F1159,2025-01-07,14:40,267,452,71,154,20kg,0.31,9.4,Industrial,98.66,183.72,44.7,Acre-Rota-05,15,28.7,GLP Comercial,Fogás,Acre,Venda Direta,82,30.5,4,21.1,Dinheiro
F3824,2025-01-07,14:05,345,296,67,128,45kg,0.2,1.6,Industrial,144.93,94.72,20.79,Rondônia-Rota-05,82,18.4,GLP Residencial,Fogás,Rondônia,Revenda,531,30.6,1,8.1,Boleto
F4105,2025-01-07,06:18,183,572,46,220,20kg,0.24,9.4,Industrial,112.78,139.5,45.24,Amazonas-Rota-03,93,83.0,GLP Comercial,Fogás,Amazonas,Revenda,933,29.4,4,0.3,PIX
F4723,2025-01-07,17:12,83,286,70,222,20kg,0.48,5.2,Comercial,141.91,164.47,33.37,Amazonas-Rota-05,108,88.9,GLP Granel,Fogás,Amazonas,Revenda,169,29.0,2,1.9,Boleto
F9388,2025-01-07,20:39,165,927,76,100,13kg,0.57,7.6,Residencial,72.21,197.44,22.54,Amazonas-Rota-01,119,67.5,GLP Comercial,Fogás,Amazonas,Revenda,450,30.5,3,44.2,Cartão
F6633,2025-01-07,13:57,203,335,54,170,20kg,0.48,5.9,Residencial,131.86,126.84,21.29,Rondônia-Rota-04,90,76.7,GLP Residencial,Fogás,Rondônia,Revenda,933,30.9,5,42.8,Boleto
F1603,2025-01-07,18:09,361,458,27,236,13kg,0.39,3.6,Residencial,132.09,187.55,20.25,Amapá-Rota-08,93,90.3,GLP Residencial,Fogás,Amapá,Revenda,110,29.8,4,29.5,PIX
F1184,2025-01-07,09:47,483,431,36,123,13kg,0.28,8.3,Condomínio,140.22,169.89,41.45,Amapá-Rota-05,63,5.3,GLP Comercial,Fogás,Amapá,Venda Direta,707,28.5,5,39.8,Dinheiro
F6799,2025-01-07,06:40,482,326,71,279,20kg,0.41,7.0,Residencial,84.87,155.08,23.44,Rondônia-Rota-06,109,61.5,GLP Industrial,Fogás,Rondônia,Revenda,346,28.9,3,33.6,Boleto
F9260,2025-01-07,20:00,172,811,67,115,13kg,0.39,7.4,Condomínio,113.59,187.99,46.6,Amazonas-Rota-07,78,73.9,GLP Comercial,Fogás,Amazonas,Revenda,985,29.4,5,29.6,Cartão
F4493,2025-01-07,16:04,413,359,39,238,190kg,0.31,5.8,Comercial,70.38,106.55,18.34,Amapá-Rota-06,43,87.6,GLP Industrial,Fogás,Amapá,E-commerce,265,29.9,1,12.2,Dinheiro
F8071,2025-01-07,07:42,249,379,84,160,190kg,0.18,7.1,Industrial,148.6,177.19,15.3,Amapá-Rota-04,73,21.5,GLP Comercial,Fogás,Amapá,Venda Direta,263,28.8,4,5.3,PIX
F7827,2025-01-07,13:12,232,467,45,141,45kg,0.47,5.4,Residencial,125.75,167.2,13.27,Acre-Rota-06,33,56.7,GLP Comercial,Fogás,Acre,E-commerce,298,29.1,4,47.2,Cartão
F4901,2025-01-07,16:16,135,968,91,146,45kg,0.15,9.8,Comercial,107.97,146.82,25.53,Rondônia-Rota-09,45,99.8,GLP Granel,Fogás,Rondônia,Venda Direta,969,29.7,4,13.6,Boleto
F6782,2025-01-07,16:38,373,795,43,268,190kg,0.34,5.4,Condomínio,130.15,137.91,21.06,Amazonas-Rota-06,39,26.9,GLP Granel,Fogás,Amazonas,Venda Direta,731,31.5,3,2.0,PIX
F3358,2025-01-07,07:01,296,286,53,120,13kg,0.3,3.9,Comercial,121.17,136.82,42.62,Amazonas-Rota-04,103,20.3,GLP Industrial,Fogás,Amazonas,Revenda,324,29.5,1,36.4,Dinheiro
F5809,2025-01-07,08:44,288,307,78,166,190kg,0.32,4.0,Residencial,72.14,199.7,44.1,Roraima-Rota-05,35,7.1,GLP Industrial,Fogás,Roraima,Revenda,446,30.2,4,11.0,Cartão
F5880,2025-01-07,11:49,156,710,92,124,45kg,0.57,3.8,Industrial,95.14,103.79,33.79,Rondônia-Rota-06,40,93.9,GLP Comercial,Fogás,Rondônia,E-commerce,800,30.4,3,6.7,Dinheiro
F6115,2025-01-07,11:35,467,604,55,255,45kg,0.53,7.3,Residencial,110.4,112.17,27.79,Amazonas-Rota-06,32,38.0,GLP Residencial,Ultragaz,Amazonas,Venda Direta,111,30.9,2,19.6,Boleto
F6124,2025-01-07,07:31,207,446,56,192,190kg,0.24,6.5,Residencial,137.28,171.74,39.3,Acre-Rota-05,18,37.2,GLP Granel,Ultragaz,Acre,Revenda,498,31.9,3,18.4,Dinheiro
F2857,2025-01-07,12:29,121,429,64,106,190kg,0.3,1.0,Industrial,93.47,101.42,33.03,Roraima-Rota-07,92,80.5,GLP Comercial,Ultragaz,Roraima,Revenda,165,28.5,4,12.7,Cartão
F9658,2025-01-07,07:30,132,581,94,249,13kg,0.3,3.9,Residencial,71.16,157.16,18.41,Amapá-Rota-02,26,93.0,GLP Industrial,Fogás,Amapá,Revenda,171,30.7,1,2.5,Dinheiro
F1221,2025-01-07,18:47,134,727,31,223,45kg,0.6,1.7,Residencial,79.92,193.96,11.71,Amazonas-Rota-08,96,28.3,GLP Residencial,Fogás,Amazonas,Venda Direta,160,30.5,2,44.0,Dinheiro
F6351,2025-01-07,19:42,131,914,79,270,20kg,0.31,3.3,Residencial,110.66,102.87,37.18,Amazonas-Rota-05,89,41.0,GLP Granel,Fogás,Amazonas,Revenda,115,29.6,4,21.3,Boleto
F4679,2025-01-07,08:06,343,465,71,252,45kg,0.46,4.8,Residencial,127.88,160.05,12.73,Acre-Rota-04,28,18.1,GLP Comercial,Fogás,Acre,Revenda,215,28.7,2,28.5,Dinheiro
F1634,2025-01-07,06:55,381,486,99,238,190kg,0.25,3.8,Residencial,148.21,164.24,12.79,Acre-Rota-09,53,56.8,GLP Residencial,Fogás,Acre,Revenda,802,31.9,3,47.9,Dinheiro
F8948,2025-01-07,20:30,336,444,55,182,45kg,0.41,4.7,Industrial,116.61,193.46,30.79,Amazonas-Rota-06,37,46.8,GLP Granel,Fogás,Amazonas,Venda Direta,833,29.3,1,32.7,Cartão
F3886,2025-01-07,18:44,257,996,35,181,13kg,0.38,7.7,Residencial,140.49,189.54,46.03,Roraima-Rota-04,75,92.3,GLP Industrial,Fogás,Roraima,Revenda,775,29.0,2,10.5,PIX
F2709,2025-01-07,21:11,80,473,78,140,190kg,0.31,4.3,Residencial,100.52,139.27,36.79,Acre-Rota-04,74,42.0,GLP Comercial,Fogás,Acre,Venda Direta,641,32.3,3,7.2,Cartão
F4036,2025-01-07,19:07,428,695,59,201,45kg,0.19,4.8,Comercial,84.09,180.34,34.77,Amapá-Rota-09,113,43.9,GLP Industrial,Ultragaz,Amapá,E-commerce,40,28.6,2,35.8,Dinheiro
F3564,2025-01-07,15:40,106,268,34,259,190kg,0.38,8.8,Industrial,111.47,111.79,41.85,Acre-Rota-03,112,13.4,GLP Comercial,Fogás,Acre,E-commerce,291,30.4,4,29.5,Dinheiro
F6390,2025-01-07,17:48,415,638,70,218,190kg,0.21,2.6,Industrial,136.38,186.33,29.72,Roraima-Rota-01,118,51.2,GLP Granel,Fogás,Roraima,Venda Direta,103,29.4,2,18.7,Boleto
F5491,2025-01-07,19:07,378,629,23,259,190kg,0.26,9.2,Residencial,126.81,158.1,46.12,Acre-Rota-05,109,77.3,GLP Industrial,Fogás,Acre,Revenda,597,31.2,3,2.5,Cartão
F5471,2025-01-08,17:52,319,687,59,200,13kg,0.17,4.5,Industrial,81.62,169.89,10.32,Roraima-Rota-01,86,89.1,GLP Comercial,Ultragaz,Roraima,Venda Direta,629,23.6,2,34.4,PIX
F1618,2025-01-08,12:20,234,259,23,120,20kg,0.38,9.8,Industrial,132.99,102.62,23.84,Amapá-Rota-04,35,33.7,GLP Residencial,Fogás,Amapá,Revenda,1,23.3,4,22.4,PIX
F4895,2025-01-08,21:44,284,826,75,264,13kg,0.33,6.0,Industrial,117.2,184.48,31.68,Rondônia-Rota-07,34,23.6,GLP Comercial,Fogás,Rondônia,Revenda,524,22.3,1,30.1,PIX
F6465,2025-01-08,09:53,480,846,71,278,45kg,0.36,4.5,Condomínio,99.87,141.94,33.59,Amazonas-Rota-02,69,28.3,GLP Comercial,Fogás,Amazonas,Revenda,947,21.0,5,2.8,Cartão
F2510,2025-01-08,11:14,267,424,74,179,190kg,0.57,4.9,Residencial,85.34,121.43,23.56,Amazonas-Rota-06,26,96.6,GLP Comercial,Fogás,Amazonas,Revenda,74,21.5,3,12.8,PIX
F6305,2025-01-08,15:53,345,837,62,159,20kg,0.3,1.6,Residencial,127.74,181.78,23.98,Acre-Rota-06,116,77.1,GLP Industrial,Fogás,Acre,Venda Direta,691,21.4,5,34.3,PIX
F9145,2025-01-08,20:20,391,353,34,259,45kg,0.56,6.2,Comercial,112.23,106.26,24.6,Acre-Rota-04,117,19.6,GLP Residencial,Fogás,Acre,Venda Direta,7,20.5,2,26.0,Cartão
F6246,2025-01-08,08:28,121,852,29,140,20kg,0.32,1.7,Residencial,108.4,171.04,10.41,Amapá-Rota-04,94,61.3,GLP Industrial,Ultragaz,Amapá,E-commerce,290,21.8,2,4.0,Dinheiro
F6619,2025-01-08,12:29,387,660,55,233,45kg,0.56,3.9,Industrial,106.4,158.26,27.68,Rondônia-Rota-02,56,59.5,GLP Granel,Fogás,Rondônia,Venda Direta,651,22.2,2,7.6,Dinheiro
F8532,2025-01-08,10:17,188,549,23,223,190kg,0.45,1.2,Comercial,146.47,139.24,42.5,Rondônia-Rota-05,89,63.4,GLP Comercial,Ultragaz,Rondônia,Revenda,705,23.7,5,23.1,Cartão
F5227,2025-01-08,19:30,376,768,32,187,45kg,0.27,2.2,Residencial,144.81,92.73,12.16,Acre-Rota-01,57,25.2,GLP Granel,Fogás,Acre,Revenda,171,24.0,1,30.9,Cartão
F1744,2025-01-08,21:12,289,493,58,293,45kg,0.41,3.7,Industrial,100.75,190.64,17.15,Roraima-Rota-07,19,68.7,GLP Granel,Fogás,Roraima,Revenda,355,21.7,2,8.6,Dinheiro
F4424,2025-01-08,21:18,293,435,79,111,13kg,0.23,5.6,Residencial,120.61,169.62,27.57,Amapá-Rota-01,24,79.0,GLP Comercial,Fogás,Amapá,E-commerce,235,24.1,5,12.8,Cartão
F8764,2025-01-08,09:30,417,439,83,254,20kg,0.33,1.5,Residencial,115.43,93.19,47.11,Rondônia-Rota-01,98,65.3,GLP Comercial,Fogás,Rondônia,Revenda,703,22.5,5,10.5,Boleto
F8352,2025-01-08,19:23,134,354,51,297,45kg,0.4,1.9,Residencial,89.46,167.43,33.67,Roraima-Rota-03,78,64.3,GLP Granel,Fogás,Roraima,Venda Direta,566,23.3,5,25.4,PIX
F9749,2025-01-08,17:12,168,599,20,253,13kg,0.44,2.9,Comercial,113.85,193.0,43.76,Rondônia-Rota-03,33,30.5,GLP Comercial,Fogás,Rondônia,Venda Direta,525,20.8,1,2.1,Cartão
F7271,2025-01-08,16:26,131,541,84,241,190kg,0.37,2.7,Residencial,126.17,186.2,29.08,Amapá-Rota-04,110,68.5,GLP Residencial,Fogás,Amapá,Revenda,754,23.7,5,7.2,Dinheiro
F4628,2025-01-08,09:50,302,911,84,263,13kg,0.37,7.3,Residencial,120.83,93.91,40.23,Amazonas-Rota-04,36,29.3,GLP Industrial,Fogás,Amazonas,Revenda,966,23.7,4,30.7,Boleto
F9162,2025-01-08,10:50,376,515,31,184,190kg,0.19,3.0,Comercial,89.55,96.37,20.05,Amazonas-Rota-09,111,50.4,GLP Comercial,Fogás,Amazonas,Venda Direta,632,20.3,3,11.2,Cartão
F8491,2025-01-08,20:13,456,556,29,129,190kg,0.23,6.6,Industrial,115.81,151.77,38.27,Acre-Rota-03,85,23.0,GLP Industrial,Fogás,Acre,Venda Direta,651,20.5,1,0.5,Cartão
F7276,2025-01-08,08:18,463,435,47,256,45kg,0.11,7.8,Industrial,138.68,132.78,17.08,Rondônia-Rota-05,56,16.1,GLP Industrial,Fogás,Rondônia,Revenda,11,23.2,1,27.9,PIX
F5984,2025-01-08,11:52,262,201,22,127,45kg,0.28,5.6,Residencial,85.77,172.05,12.8,Amazonas-Rota-01,93,67.9,GLP Granel,Fogás,Amazonas,Revenda,290,22.4,1,1.0,Boleto
F1452,2025-01-08,08:48,436,364,90,254,13kg,0.49,8.5,Residencial,86.94,174.4,11.34,Acre-Rota-06,82,99.2,GLP Industrial,Fogás,Acre,Venda Direta,701,23.1,2,8.1,Dinheiro
F6358,2025-01-08,20:51,402,979,25,174,190kg,0.58,7.5,Comercial,87.29,97.8,14.48,Rondônia-Rota-07,15,5.8,GLP Granel,Fogás,Rondônia,Venda Direta,819,20.6,2,33.3,Cartão
F3603,2025-01-08,16:38,151,568,36,111,190kg,0.18,6.5,Residencial,74.98,161.37,24.18,Amapá-Rota-05,67,52.1,GLP Industrial,Ultragaz,Amapá,Venda Direta,636,23.0,1,40.5,Cartão
F9867,2025-01-08,06:02,153,998,44,283,20kg,0.51,6.4,Residencial,127.7,172.62,47.04,Amapá-Rota-03,23,33.9,GLP Industrial,Fogás,Amapá,Venda Direta,473,21.9,2,3.3,Boleto
F5677,2025-01-08,10:37,54,304,82,178,190kg,0.21,1.1,Residencial,76.11,92.48,32.99,Amazonas-Rota-01,27,19.7,GLP Comercial,Fogás,Amazonas,E-commerce,732,23.8,4,18.5,PIX
F1983,2025-01-08,06:15,254,911,52,286,45kg,0.51,9.3,Residencial,100.65,140.26,38.24,Amazonas-Rota-01,55,18.3,GLP Comercial,Fogás,Amazonas,Venda Direta,788,23.2,2,0.0,PIX
